"voivodeship","sex","age","count","year","month"
"WOJ. MAŁOPOLSKIE","K",18,682,2019,8
"WOJ. MAŁOPOLSKIE","K",19,202,2019,8
"WOJ. MAŁOPOLSKIE","K",20,51,2019,8
"WOJ. MAŁOPOLSKIE","K",21,38,2019,8
"WOJ. MAŁOPOLSKIE","K",22,21,2019,8
"WOJ. MAŁOPOLSKIE","K",23,27,2019,8
"WOJ. MAŁOPOLSKIE","K",24,21,2019,8
"WOJ. MAŁOPOLSKIE","K",25,21,2019,8
"WOJ. MAŁOPOLSKIE","K",26,22,2019,8
"WOJ. MAŁOPOLSKIE","K",27,16,2019,8
"WOJ. MAŁOPOLSKIE","K",28,13,2019,8
"WOJ. MAŁOPOLSKIE","K",29,15,2019,8
"WOJ. MAŁOPOLSKIE","K",30,23,2019,8
"WOJ. MAŁOPOLSKIE","K",31,21,2019,8
"WOJ. MAŁOPOLSKIE","K",32,21,2019,8
"WOJ. MAŁOPOLSKIE","K",33,16,2019,8
"WOJ. MAŁOPOLSKIE","K",34,8,2019,8
"WOJ. MAŁOPOLSKIE","K",35,14,2019,8
"WOJ. MAŁOPOLSKIE","K",36,18,2019,8
"WOJ. MAŁOPOLSKIE","K",37,11,2019,8
"WOJ. MAŁOPOLSKIE","K",38,15,2019,8
"WOJ. MAŁOPOLSKIE","K",39,10,2019,8
"WOJ. MAŁOPOLSKIE","K",40,7,2019,8
"WOJ. MAŁOPOLSKIE","K",41,1,2019,8
"WOJ. MAŁOPOLSKIE","K",42,4,2019,8
"WOJ. MAŁOPOLSKIE","K",43,5,2019,8
"WOJ. MAŁOPOLSKIE","K",44,4,2019,8
"WOJ. MAŁOPOLSKIE","K",45,6,2019,8
"WOJ. MAŁOPOLSKIE","K",46,2,2019,8
"WOJ. MAŁOPOLSKIE","K",47,1,2019,8
"WOJ. MAŁOPOLSKIE","K",48,2,2019,8
"WOJ. MAŁOPOLSKIE","K",49,4,2019,8
"WOJ. MAŁOPOLSKIE","K",50,1,2019,8
"WOJ. MAŁOPOLSKIE","K",51,1,2019,8
"WOJ. MAŁOPOLSKIE","K",52,3,2019,8
"WOJ. MAŁOPOLSKIE","K",53,1,2019,8
"WOJ. MAŁOPOLSKIE","K",54,1,2019,8
"WOJ. MAŁOPOLSKIE","K",55,1,2019,8
"WOJ. MAŁOPOLSKIE","K",56,1,2019,8
"WOJ. MAŁOPOLSKIE","K",57,1,2019,8
"WOJ. MAŁOPOLSKIE","K",58,2,2019,8
"WOJ. MAŁOPOLSKIE","K",60,2,2019,8
"WOJ. MAŁOPOLSKIE","K",61,1,2019,8
"WOJ. MAŁOPOLSKIE","M",14,32,2019,8
